task id,Table PNG,Table Rendering,Dataset Number,Topic,Condition,Repetition,Task,1Header, 1Column,1Par 1,1Prompt ,1Answer,1Answer Column / Row,2Header,2Column,2Par 1,2Prompt , 2Answer, 2Answer Column / Row
1.0,DS11_candy_bar3.png,59.0,11.0,candy,bar,3.0,Filter,SugarPercent,G,50.0,"In the 'SugarPercent' column, count how many cells exceed the value of '50' ",7.0,G,Rating,C,0.9994148327618344,Determine which of the last 5 columns is most positively correalated with the first column named 'Rating' ,Chocolate,K
1.0,DS12_candy_bar4.png,60.0,12.0,candy,bar,4.0,Filter,Bar,I,57.0,"In the 'Bar' column, count how many cells exceed the value of '57' ",6.0,I,Hard,C,0.992274757693407,Determine which of the last 5 columns is most positively correalated with the first column named 'Hard' ,Nougat,I
1.0,DS13_movie_zebra1.png,29.0,13.0,movie,zebra,1.0,Filter,Fandango,H,70.0,"In the 'Fandango' column, count how many cells exceed the value of '70' ",5.0,H,Naver,C,0.9922747576934072,Determine which of the last 5 columns is most positively correalated with the first column named 'Naver' ,Roger Ebert,I
1.0,DS14_movie_zebra2.png,30.0,14.0,movie,zebra,2.0,Filter,PluggedIn,I,76.0,"In the 'PluggedIn' column, count how many cells exceed the value of '76' ",8.0,I,MrQE,C,0.9994148327618346,Determine which of the last 5 columns is most positively correalated with the first column named 'MrQE' ,Netflix,L
1.0,DS15_movie_zebra3.png,31.0,15.0,movie,zebra,3.0,Filter,Hulu,J,54.0,"In the 'Hulu' column, count how many cells exceed the value of '54' ",7.0,J,RottenTomatoes,C,0.9994148327618346,Determine which of the last 5 columns is most positively correalated with the first column named 'RottenTomatoes' ,Netflix,K
1.0,DS16_movie_zebra4.png,32.0,16.0,movie,zebra,4.0,Filter,Metacritic,G,57.0,"In the 'Metacritic' column, count how many cells exceed the value of '57' ",6.0,G,IMDB,C,0.9922747576934068,Determine which of the last 5 columns is most positively correalated with the first column named 'IMDB' ,Fandango,J
2.0,DS1_anime_color1.png,1.0,1.0,anime,color,1.0,Correlation,Watching,J,80.0,"In the 'Watching' column, count how many cells exceed the value of '80' ",7.0,J,Dropped,L,60 56 53,"In the 'Dropped' column, give the row names of the animes with the highest 3 values in descending order ",Fafnar Weapon-Connect Angel-Dragon Ball,13 18 27
,,,,,,,,,,,,,,Popularity,I,88 86 83,"In the 'Popularity' column, give the row names of the animes with the highest 3 values in descending order ",Different Life-Connect Angel-Assassian World,5 18 6
,,,,,,,,,,,,,,On-Hold,J,75 73 71,"In the 'On-Hold' column, give the row names of the animes with the highest 3 values in descending order ",Dragon Ball-Different Life-Connect Angel,5 10 11
,,,,,,,,,,,,,,Members,K,74 73 70,"In the 'Members' column, give the row names of the animes with the highest 3 values in descending order ",Different Life-Fafnar Weapon-Travel World,6 24 22
,,,,,,,,,,,,,,Carbo,H,88 86 83,"In the 'Carbo' column, give the row names of the cereals with the highest 3 values in descending order ",Oatmeal Crisp-Wheat Cream-Grape Flakes,5 19 20
,,,,,,,,,,,,,,Potassium,I,71 70 68,"In the 'Potassium' column, give the row names of the cereals with the highest 3 values in descending order ",Corn Favorite-Frosted Flakes-Natural Bran,22 3 7
,,,,,,,,,,,,,,Score,J,60 56 53,"In the 'Score' column, give the row names of the cereals with the highest 3 values in descending order ",Count Chocula-Wonderful Chex-Almond Delight,7 23 18
,,,,,,,,,,,,,,Vitamins,K,75 73 71,"In the 'Vitamins' column, give the row names of the cereals with the highest 3 values in descending order ",Froot Loops-Count Chocula-Bran Chex,16 10 19
,,,,,,,,,,,,,,Caramel,H,98 84 80,"In the 'Caramel' column, give the row names of the candys with the highest 3 values in descending order ",Lemon Head-Junior Mints-Gob Stopper,30 9 11
,,,,,,,,,,,,,,Price,K,75 73 71,"In the 'Price' column, give the row names of the candys with the highest 3 values in descending order ",Now Later-Milk Duds-Crunch Time,31 8 26
,,,,,,,,,,,,,,Rating,L,75 73 71,"In the 'Rating' column, give the row names of the candys with the highest 3 values in descending order ",Milk Duds-Air Heads-Caramel Apple,27 12 28
,,,,,,,,,,,,,,Almond,J,98 97 95,"In the 'Almond' column, give the row names of the candys with the highest 3 values in descending order ",Reese Pieces-Cheese Bears-Berry Chews,30 19 16
,,,,,,,,,,,,,,Roger Ebert,I,71 70 68,"In the 'Roger Ebert' column, give the row names of the movies with the highest 3 values in descending order ",End Tour-Black White-My Dreams,21 16 17
,,,,,,,,,,,,,,Fandango,K,75 73 71,"In the 'Fandango' column, give the row names of the movies with the highest 3 values in descending order ",Black Sea-Water Diviner-Hunting Ground,5 21 20
,,,,,,,,,,,,,,RottenTomatoes,H,98 84 80,"In the 'RottenTomatoes' column, give the row names of the movies with the highest 3 values in descending order ",Crazy Adventure-Fantastic Four-Black Sea,10 9 20
,,,,,,,,,,,,,,Naver,J,71 70 68,"In the 'Naver' column, give the row names of the movies with the highest 3 values in descending order ",Wild Tales-Teenage Girl -My Dreams,18 6 10
,,,,,,,,,,,,,,Score,D,,"In the 'Score' column, calculate a rough estimate of the average value",28.89655172413793,D
,,,,,,,,,,,,,,Episodes,F,,"In the 'Episodes' column, calculate a rough estimate of the average value",62.37931034482759,F
,,,,,,,,,,,,,,Members,E,,"In the 'Members' column, calculate a rough estimate of the average value",37.86206896551724,E
,,,,,,,,,,,,,,Favorites,G,,"In the 'Favorites' column, calculate a rough estimate of the average value",47.6551724137931,G
,,,,,,,,,,,,,,Sugars,F,,"In the 'Sugars' column, calculate a rough estimate of the average value",56.93103448275862,F
,,,,,,,,,,,,,,Score,E,,"In the 'Score' column, calculate a rough estimate of the average value",42.10344827586207,E
,,,,,,,,,,,,,,Vitamins,D,,"In the 'Vitamins' column, calculate a rough estimate of the average value",35.62068965517241,D
,,,,,,,,,,,,,,Potassium,E,,"In the 'Potassium' column, calculate a rough estimate of the average value",52.310344827586206,E
,,,,,,,,,,,,,,Chocolate,G,,"In the 'Chocolate' column, calculate a rough estimate of the average value",37.86206896551724,G
,,,,,,,,,,,,,,Nougat,D,,"In the 'Nougat' column, calculate a rough estimate of the average value",35.62068965517241,D
,,,,,,,,,,,,,,Fruity,F,,"In the 'Fruity' column, calculate a rough estimate of the average value",50.241379310344826,F
,,,,,,,,,,,,,,SugarPercent,G,,"In the 'SugarPercent' column, calculate a rough estimate of the average value",37.86206896551724,G
,,,,,,,,,,,,,,MrQE,E,,"In the 'MrQE' column, calculate a rough estimate of the average value",52.310344827586206,E
,,,,,,,,,,,,,,IMDB,G,,"In the 'IMDB' column, calculate a rough estimate of the average value",37.86206896551724,G
,,,,,,,,,,,,,,Netflix,F,,"In the 'Netflix' column, calculate a rough estimate of the average value",50.241379310344826,F
,,,,,,,,,,,,,,Roger Ebert,E,,"In the 'Roger Ebert' column, calculate a rough estimate of the average value",52.310344827586206,E
,,,,,,,,,,,,,,Members,G,15,"In the 'Members' column, find the  with a value equal to '15' ",Metal Panic,16
,,,,,,,,,,,,,,Ranked,H,26,"In the 'Ranked' column, find the  with a value equal to '26' ",Monster Hunter,20
,,,,,,,,,,,,,,Dropped,I,17,"In the 'Dropped' column, find the  with a value equal to '17' ",Magical Warfare,16
,,,,,,,,,,,,,,Dropped,J,12,"In the 'Dropped' column, find the  with a value equal to '12' ",Metal Panic,18
,,,,,,,,,,,,,,Sodium,K,51,"In the 'Sodium' column, find the  with a value equal to '51' ",Bran Chex,17
,,,,,,,,,,,,,,Carbo,H,32,"In the 'Carbo' column, find the  with a value equal to '32' ",Double Chex,19
,,,,,,,,,,,,,,Protein,I,83,"In the 'Protein' column, find the  with a value equal to '83' ",Smile Maker,17
,,,,,,,,,,,,,,Vitamins,K,26,"In the 'Vitamins' column, find the  with a value equal to '26' ",Frosted Flakes,20
,,,,,,,,,,,,,,Pluribus,J,32,"In the 'Pluribus' column, find the  with a value equal to '32' ",Pixie Sticks,19
,,,,,,,,,,,,,,Price,K,68,"In the 'Price' column, find the  with a value equal to '68' ",Hersheys Kisses,17
,,,,,,,,,,,,,,Rating,L,26,"In the 'Rating' column, find the  with a value equal to '26' ",Fruit Chews,11
,,,,,,,,,,,,,,Rating,K,15,"In the 'Rating' column, find the  with a value equal to '15' ",Quarter World,15
,,,,,,,,,,,,,,Film Comment,J,67,"In the 'Film Comment' column, find the  with a value equal to '67' ",Black Sea,20
,,,,,,,,,,,,,,PluggedIn,I,79,"In the 'PluggedIn' column, find the  with a value equal to '79' ",Hot Pursuit,18
,,,,,,,,,,,,,,Naver,L,73,"In the 'Naver' column, find the  with a value equal to '73' ",South Paw,19
,,,,,,,,,,,,,,Film Comment,K,31,"In the 'Film Comment' column, find the  with a value equal to '31' ",Fantastic Four,17
