task id,Table PNG,Table Rendering,Dataset Number,Topic,Condition,Repetition,Task,1Header,1Column,1Par 1,1Prompt,1Answer,1Answer Column / Row
2,DS13_movie_plain1.png,45,13,movie,plain,1,Correlation,Naver,C,0.9922747576934072,Determine which of the last 5 columns is most positively correalated with the first column named 'Naver' ,Roger Ebert,I
2,DS14_movie_plain2.png,46,14,movie,plain,2,Correlation,MrQE,C,0.9994148327618346,Determine which of the last 5 columns is most positively correalated with the first column named 'MrQE' ,Netflix,L
2,DS15_movie_plain3.png,47,15,movie,plain,3,Correlation,RottenTomatoes,C,0.9994148327618346,Determine which of the last 5 columns is most positively correalated with the first column named 'RottenTomatoes' ,Netflix,K
2,DS16_movie_plain4.png,48,16,movie,plain,4,Correlation,IMDB,C,0.9922747576934068,Determine which of the last 5 columns is most positively correalated with the first column named 'IMDB' ,Fandango,J
3,DS1_anime_color1.png,1,1,anime,color,1,Sort,Dropped,L,60 56 53,"In the 'Dropped' column, give the row names of the animes with the highest 3 values in descending order ",Fafnar Weapon-Connect Angel-Dragon Ball,13 18 27
3,DS2_anime_color2.png,2,2,anime,color,2,Sort,Popularity,I,88 86 83,"In the 'Popularity' column, give the row names of the animes with the highest 3 values in descending order ",Different Life-Connect Angel-Assassian World,5 18 6
3,DS3_anime_color3.png,3,3,anime,color,3,Sort,On-Hold,J,75 73 71,"In the 'On-Hold' column, give the row names of the animes with the highest 3 values in descending order ",Dragon Ball-Different Life-Connect Angel,5 10 11
3,DS4_anime_color4.png,4,4,anime,color,4,Sort,Members,K,74 73 70,"In the 'Members' column, give the row names of the animes with the highest 3 values in descending order ",Different Life-Fafnar Weapon-Travel World,6 24 22
3,DS5_cereal_zebra1.png,21,5,cereal,zebra,1,Sort,Vitamins,H,88 86 83,"In the 'Vitamins' column, give the row names of the cereals with the highest 3 values in descending order ",Cap Crunch-Corn Favorite-Raisin Bran,5 19 20
3,DS6_cereal_zebra2.png,22,6,cereal,zebra,2,Sort,Protein,I,71 70 68,"In the 'Protein' column, give the row names of the cereals with the highest 3 values in descending order ",Smile Maker-Natural Bran-Fruity Pebbles,22 3 7
3,DS7_cereal_zebra3.png,23,7,cereal,zebra,3,Sort,Carbo,J,60 56 53,"In the 'Carbo' column, give the row names of the cereals with the highest 3 values in descending order ",Cinnamon Toast-Cap Crunch-Mini Wheats,7 23 18
3,DS8_cereal_zebra4.png,24,8,cereal,zebra,4,Sort,Sodium,K,75 73 71,"In the 'Sodium' column, give the row names of the cereals with the highest 3 values in descending order ",Wonderful Chex-Bran Chex-Raisin Bran,16 10 19
3,DS9_candy_bar1.png,57,9,candy,bar,1,Sort,Caramel,H,98 84 80,"In the 'Caramel' column, give the row names of the candys with the highest 3 values in descending order ",Lemon Head-Junior Mints-Gob Stopper,30 9 11
3,DS10_candy_bar2.png,58,10,candy,bar,2,Sort,Price,K,75 73 71,"In the 'Price' column, give the row names of the candys with the highest 3 values in descending order ",Now Later-Milk Duds-Crunch Time,31 8 26
3,DS11_candy_bar3.png,59,11,candy,bar,3,Sort,Rating,L,75 73 71,"In the 'Rating' column, give the row names of the candys with the highest 3 values in descending order ",Milk Duds-Air Heads-Caramel Apple,27 12 28
3,DS12_candy_bar4.png,60,12,candy,bar,4,Sort,Almond,J,98 97 95,"In the 'Almond' column, give the row names of the candys with the highest 3 values in descending order ",Reese Pieces-Cheese Bears-Berry Chews,30 19 16
3,DS13_movie_plain1.png,45,13,movie,plain,1,Sort,PluggedIn,I,71 70 68,"In the 'PluggedIn' column, give the row names of the movies with the highest 3 values in descending order ",About Elly-Black White-Divergent Series,21 16 17
3,DS14_movie_plain2.png,46,14,movie,plain,2,Sort,Metacritic,K,75 73 71,"In the 'Metacritic' column, give the row names of the movies with the highest 3 values in descending order ",Irrational Man -Teenage Girl -Mapping Stars,5 21 20
3,DS15_movie_plain3.png,47,15,movie,plain,3,Sort,Fandango,H,98 84 80,"In the 'Fandango' column, give the row names of the movies with the highest 3 values in descending order ",Teenage Girl -Irrational Man -Next Door,10 9 20
3,DS16_movie_plain4.png,48,16,movie,plain,4,Sort,Netflix,J,71 70 68,"In the 'Netflix' column, give the row names of the movies with the highest 3 values in descending order ",Welcome Home-About Elly-Irrational Man ,18 6 10
4,DS1_anime_color1.png,1,1,anime,color,1,Estimate Average,Score,D,,"In the 'Score' column, calculate a rough estimate of the average value",28.89655172413793,D
4,DS2_anime_color2.png,2,2,anime,color,2,Estimate Average,Episodes,F,,"In the 'Episodes' column, calculate a rough estimate of the average value",62.37931034482759,F
4,DS3_anime_color3.png,3,3,anime,color,3,Estimate Average,Members,E,,"In the 'Members' column, calculate a rough estimate of the average value",37.86206896551724,E
4,DS4_anime_color4.png,4,4,anime,color,4,Estimate Average,Favorites,G,,"In the 'Favorites' column, calculate a rough estimate of the average value",47.6551724137931,G
4,DS5_cereal_zebra1.png,21,5,cereal,zebra,1,Estimate Average,Fiber,F,,"In the 'Fiber' column, calculate a rough estimate of the average value",56.93103448275862,F
4,DS6_cereal_zebra2.png,22,6,cereal,zebra,2,Estimate Average,Fiber,G,,"In the 'Fiber' column, calculate a rough estimate of the average value",52.310344827586206,G
4,DS7_cereal_zebra3.png,23,7,cereal,zebra,3,Estimate Average,Sugars,D,,"In the 'Sugars' column, calculate a rough estimate of the average value",35.62068965517241,D
4,DS8_cereal_zebra4.png,24,8,cereal,zebra,4,Estimate Average,Score,E,,"In the 'Score' column, calculate a rough estimate of the average value",52.310344827586206,E
4,DS9_candy_bar1.png,57,9,candy,bar,1,Estimate Average,Chocolate,G,,"In the 'Chocolate' column, calculate a rough estimate of the average value",37.86206896551724,G
4,DS10_candy_bar2.png,58,10,candy,bar,2,Estimate Average,Nougat,D,,"In the 'Nougat' column, calculate a rough estimate of the average value",35.62068965517241,D
4,DS11_candy_bar3.png,59,11,candy,bar,3,Estimate Average,Fruity,F,,"In the 'Fruity' column, calculate a rough estimate of the average value",50.241379310344826,F
4,DS12_candy_bar4.png,60,12,candy,bar,4,Estimate Average,SugarPercent,G,,"In the 'SugarPercent' column, calculate a rough estimate of the average value",37.86206896551724,G
4,DS13_movie_plain1.png,45,13,movie,plain,1,Estimate Average,Fandango,E,,"In the 'Fandango' column, calculate a rough estimate of the average value",52.310344827586206,E
4,DS14_movie_plain2.png,46,14,movie,plain,2,Estimate Average,Roger Ebert,G,,"In the 'Roger Ebert' column, calculate a rough estimate of the average value",37.86206896551724,G
4,DS15_movie_plain3.png,47,15,movie,plain,3,Estimate Average,RottenTomatoes,F,,"In the 'RottenTomatoes' column, calculate a rough estimate of the average value",50.241379310344826,F
4,DS16_movie_plain4.png,48,16,movie,plain,4,Estimate Average,IMDB,E,,"In the 'IMDB' column, calculate a rough estimate of the average value",52.310344827586206,E
5,DS1_anime_color1.png,1,1,anime,color,1,Retrieve Value,Members,G,15,"In the 'Members' column, find the  with a value equal to '15' ",Metal Panic,16
5,DS2_anime_color2.png,2,2,anime,color,2,Retrieve Value,Ranked,H,26,"In the 'Ranked' column, find the  with a value equal to '26' ",Monster Hunter,20
5,DS3_anime_color3.png,3,3,anime,color,3,Retrieve Value,Dropped,I,17,"In the 'Dropped' column, find the  with a value equal to '17' ",Magical Warfare,16
5,DS4_anime_color4.png,4,4,anime,color,4,Retrieve Value,Dropped,J,12,"In the 'Dropped' column, find the  with a value equal to '12' ",Metal Panic,18
5,DS5_cereal_zebra1.png,21,5,cereal,zebra,1,Retrieve Value,Sugars,K,51,"In the 'Sugars' column, find the  with a value equal to '51' ",Wonderful Chex,17
5,DS6_cereal_zebra2.png,22,6,cereal,zebra,2,Retrieve Value,Score,H,32,"In the 'Score' column, find the  with a value equal to '32' ",Wheat Cream,19
5,DS7_cereal_zebra3.png,23,7,cereal,zebra,3,Retrieve Value,Protein,I,83,"In the 'Protein' column, find the  with a value equal to '83' ",Lucky Charms,17
5,DS8_cereal_zebra4.png,24,8,cereal,zebra,4,Retrieve Value,Sodium,K,26,"In the 'Sodium' column, find the  with a value equal to '26' ",Wheat Cream,20
5,DS9_candy_bar1.png,57,9,candy,bar,1,Retrieve Value,Pluribus,J,32,"In the 'Pluribus' column, find the  with a value equal to '32' ",Pixie Sticks,19
5,DS10_candy_bar2.png,58,10,candy,bar,2,Retrieve Value,Price,K,68,"In the 'Price' column, find the  with a value equal to '68' ",Hersheys Kisses,17
5,DS11_candy_bar3.png,59,11,candy,bar,3,Retrieve Value,Rating,L,26,"In the 'Rating' column, find the  with a value equal to '26' ",Fruit Chews,11
5,DS12_candy_bar4.png,60,12,candy,bar,4,Retrieve Value,Rating,K,15,"In the 'Rating' column, find the  with a value equal to '15' ",Quarter World,15
5,DS13_movie_plain1.png,45,13,movie,plain,1,Retrieve Value,RottenTomatoes,J,67,"In the 'RottenTomatoes' column, find the  with a value equal to '67' ",Welcome Home,20
5,DS14_movie_plain2.png,46,14,movie,plain,2,Retrieve Value,MrQE,I,79,"In the 'MrQE' column, find the  with a value equal to '79' ",Tomorrow land,18
5,DS15_movie_plain3.png,47,15,movie,plain,3,Retrieve Value,Film Comment,L,73,"In the 'Film Comment' column, find the  with a value equal to '73' ",Adaline Age,19
5,DS16_movie_plain4.png,48,16,movie,plain,4,Retrieve Value,PluggedIn,K,31,"In the 'PluggedIn' column, find the  with a value equal to '31' ",Still Alice,17
